© 2019 YouGov Ltd. All Rights Reserved,End of Fieldwork ,Con %,Lab %,Lib Dem %,SNP %,Green %,Reform UK (prev. Brexit Party) %,Other %,Con lead over Lab %
,22/02/2023,23,46,9,4,7,8,2,-23
,15/02/2023,22,50,9,4,6,7,1,-28
,09/02/2023,24,47,10,4,6,6,2,-23
,01/02/2023,24,48,9,4,6,6,2,-24
,25/01/2023,26,45,10,4,7,6,2,-19
,19/01/2023,26,48,8,4,5,7,1,-22
,11/01/2023,25,47,9,5,5,7,1,-22
,05/01/2023,25,46,9,5,6,7,2,-21
,21/12/2022,24,48,9,4,5,8,2,-24
,15/12/2022,23,48,8,5,5,9,1,-25
,07/12/2022,24,48,9,4,6,8,1,-24
,30/11/2022,22,47,9,4,5,9,2,-25
,23/11/2022,25,48,9,4,5,5,2,-23
,16/11/2022,26,47,9,5,5,6,2,-21
,10/11/2022,25,48,10,5,5,5,2,-23
,02/11/2022,24,50,9,4,5,6,2,-26
,26/10/2022,23,51,9,5,4,6,1,-28
,21/10/2022,19,56,10,4,4,5,1,-37
,12/10/2022,23,51,9,5,7,3,2,-28
,07/10/2022,22,52,9,5,6,5,2,-30
,29/09/2022,21,54,7,5,6,4,1,-33
,25/09/2022,28,45,9,4,7,3,2,-17
,22/09/2022,32,40,9,5,8,3,2,-8
,12/09/2022,32,42,10,4,7,2,1,-10
,07/09/2022,29,44,10,5,7,3,2,-15
,01/09/2022,28,43,11,5,6,3,2,-15
,24/08/2022,31,39,11,5,7,5,2,-8
,17/08/2022,28,43,11,5,7,4,2,-15
,10/08/2022,30,39,12,5,6,4,3,-9
,05/08/2022,33,37,11,5,8,3,2,-4
,28/07/2022,34,35,13,5,7,3,1,-1
,22/07/2022,32,39,12,4,8,4,2,-7
,14/07/2022,29,40,13,4,7,4,2,-11
,07/07/2022,29,40,15,5,6,3,2,-11
,29/06/2022,33,36,13,5,6,3,2,-3
,23/06/2022,34,39,9,4,8,4,2,-5
,16/06/2022,33,39,10,4,6,4,2,-6
,09/06/2022,32,39,11,5,7,3,2,-7
,03/06/2022,32,36,12,5,8,4,1,-4
,25/05/2022,31,39,12,4,7,4,2,-8
,19/05/2022,31,39,12,5,7,4,1,-8
,11/05/2022,33,38,12,4,6,3,2,-5
,06/05/2022,35,36,10,5,8,4,2,-1
,27/04/2022,33,39,11,5,6,3,2,-6
,20/04/2022,33,39,9,4,8,3,3,-6
,14/04/2022,33,38,10,4,7,5,2,-5
,07/04/2022,34,37,10,4,7,4,3,-3
,30/03/2022,33,37,9,6,6,5,3,-4
,24/03/2022,35,37,10,4,7,4,2,-2
,23/03/2022,35,36,9,4,8,5,3,-1
,18/03/2022,33,39,10,5,7,4,2,-6
,09/03/2022,33,39,10,4,7,4,2,-6
,04/03/2022,35,37,7,5,8,5,2,-2
,25/02/2022,34,39,9,5,6,5,3,-5
,17/02/2022,34,38,10,4,6,4,2,-4
,11/02/2022,34,37,10,5,8,4,2,-3
,02/02/2022,32,41,10,5,6,4,2,-9
,27/01/2022,32,38,11,5,7,3,3,-6
,21/01/2022,32,39,8,5,8,4,2,-7
,14/01/2022,31,39,11,5,6,5,2,-8
,13/01/2022,29,40,11,5,6,6,1,-11
,12/01/2022,28,38,13,5,7,4,3,-10
,07/01/2022,33,37,10,5,6,5,3,-4
,20/12/2021,30,36,12,6,8,5,3,-6
,15/12/2021,32,37,10,5,7,6,3,-5
,10/12/2021,32,40,8,4,7,7,2,-8
,09/12/2021,33,37,9,5,7,6,2,-4
,02/12/2021,36,33,9,5,9,6,1,3
,25/11/2021,36,35,7,5,8,6,2,1
,18/11/2021,36,34,7,4,10,5,3,2
,11/11/2021,35,35,8,5,10,4,3,0
,04/11/2021,36,35,8,5,9,5,2,1
,28/10/2021,39,33,8,5,10,3,2,6
,21/10/2021,37,33,9,5,10,4,2,4
,13/10/2021,41,31,9,4,8,4,2,10
,06/10/2021,39,31,9,6,9,4,2,8
,29/09/2021,39,31,8,5,9,4,2,8
,23/09/2021,39,32,10,4,9,3,2,7
,16/09/2021,39,35,7,5,7,3,2,4
,09/09/2021,33,35,10,5,9,5,2,-2
,03/09/2021,38,34,8,5,10,3,3,4
,26/08/2021,39,31,8,5,9,4,3,8
,18/08/2021,40,32,9,5,8,3,2,8
,12/08/2021,40,32,9,5,7,2,3,8
,06/08/2021,41,33,8,5,7,3,2,8
,29/07/2021,39,34,8,4,9,3,2,5
,21/07/2021,38,34,9,4,8,3,2,4
,16/07/2021,44,31,8,4,6,3,2,13
,08/07/2021,42,30,9,5,7,2,3,12
,30/06/2021,42,31,10,5,6,3,2,11
,24/06/2021,42,30,9,5,7,4,2,12
,17/06/2021,42,30,9,5,7,4,2,12
,10/06/2021,44,31,7,5,9,2,2,13
,03/06/2021,46,30,6,4,9,2,2,16
,28/05/2021,43,29,8,5,8,3,2,14
,20/05/2021,46,28,8,5,8,2,1,18
,12/05/2021,45,30,7,5,8,2,2,15
,05/05/2021,43,33,7,5,6,3,2,10
,28/04/2021,44,33,7,4,7,3,1,11
,22/04/2021,44,34,5,5,7,2,2,10
,14/04/2021,43,29,8,5,8,3,2,14
,08/04/2021,41,34,6,5,6,3,3,7
,01/04/2021,42,34,7,5,6,3,2,8
,26/03/2021,42,32,8,5,7,3,2,10
,19/03/2021,43,34,5,5,7,3,2,9
,10/03/2021,42,33,7,4,6,3,2,9
,04/03/2021,45,32,6,5,7,3,1,13
,26/02/2021,41,36,5,5,7,3,1,5
,18/02/2021,40,37,7,5,6,3,1,3
,10/02/2021,41,36,6,5,7,3,3,5
,03/02/2021,41,37,6,5,6,3,2,4
,27/01/2021,37,41,6,5,4,3,3,-4
,22/01/2021,39,38,5,5,6,4,2,1
,14/01/2021,38,39,5,5,6,3,2,-1
,05/01/2021,39,39,6,5,6,3,2,0 
,22/12/2020,37,41,5,5,5,4,1,-4
,16/12/2020,39,37,6,5,6,4,2,2
,09/12/2020,37,37,8,5,6,5,1,0
,03/12/2020,38,38,6,5,5,3,3,0
,27/11/2020,37,40,5,6,5,5,2,-3
,18/11/2020,38,37,7,6,6,4,2,1
,12/11/2020,38,40,5,5,5,4,1,-2
,05/11/2020,35,40,7,5,4,6,2,-5
,29/10/2020,38,38,6,5,5,4,2,0
,22/10/2020,40,39,7,5,5,3,2,1
,15/10/2020,39,38,6,5,6,5,1,1
,07/10/2020,41,38,5,5,6,3,1,3
,30/09/2020,39,39,6,5,5,4,1,0
,24/09/2020,41,38,6,4,5,3,2,3
,17/09/2020,40,40,6,4,5,3,1,0
,09/09/2020,42,37,6,5,4,3,1,5
,04/09/2020,43,37,6,6,4,3,1,6
,25/08/2020,43,36,6,6,4,3,1,7
,19/08/2020,40,38,6,5,6,4,1,2
,12/08/2020,44,35,5,6,5,3,1,9
,05/08/2020,42,36,8,5,5,2,1,6
,31/07/2020,43,35,6,5,5,3,3,8
,23/07/2020,44,35,7,5,4,3,2,9
,09/07/2020,46,36,6,5,3,2,2,10
,28/06/2020,45,37,5,5,4,2,2,8
,12/06/2020,45,37,6,5,4,2,1,8
,30/05/2020,45,35,6,5,5,2,2,10
,26/05/2020,44,38,6,5,4,2,1,6
,19/05/2020,48,33,6,5,5,2,1,15
,06/05/2020,50,30,7,4,5,3,1,20
,24/04/2020,52,31,6,5,3,1,1,21
,17/04/2020,53,32,5,4,3,1,2,21
,02/04/2020,52,28,8,5,5,1,1,24
,10/02/2020,48,28,10,4,6,2,2,20
,02/02/2020,49,30,8,4,5,2,2,19
,26/01/2020,49,29,10,5,4,2,1,20