date,A large Conservative majority,A small Conservative majority,"A hung Parliament, resulting in a Conservative led government","A hung Parliament, resulting in a Labour led government",A small Labour majority,A large Labour majority,Don't know,Unweighted base,Base
17/07/2019,0.04,0.19,0.29,0.13,0.05,0.03,0.26,1783,1783
11/08/2019,0.07,0.2,0.27,0.14,0.05,0.02,0.24,1750,1750
09/09/2019,0.07,0.14,0.27,0.16,0.03,0.02,0.31,1680,1680
06/10/2019,0.08,0.18,0.25,0.12,0.04,0.02,0.31,1687,1687
04/11/2019,0.07,0.22,0.27,0.11,0.03,0.02,0.27,1670,1670
01/12/2019,0.13,0.33,0.21,0.08,0.02,0.01,0.22,1658,1658
06/01/2020,0.28,0.21,0.05,0.04,0.03,0.02,0.38,1702,1702
03/02/2020,0.27,0.23,0.06,0.04,0.03,0.02,0.36,1686,1686
02/03/2020,0.24,0.27,0.07,0.04,0.02,0.02,0.33,1646,1646
30/03/2020,0.33,0.23,0.05,0.03,0.02,0.02,0.32,1631,1631
27/04/2020,0.26,0.25,0.07,0.06,0.04,0.02,0.3,1664,1664
25/05/2020,0.15,0.26,0.09,0.07,0.08,0.03,0.33,1672,1672
22/06/2020,0.1,0.29,0.11,0.08,0.09,0.02,0.3,1658,1658
20/07/2020,0.12,0.26,0.12,0.08,0.08,0.03,0.32,1658,1658
17/08/2020,0.09,0.3,0.12,0.08,0.07,0.03,0.31,1682,1682
14/09/2020,0.09,0.26,0.12,0.09,0.08,0.03,0.33,1632,1632
13/10/2020,0.06,0.26,0.14,0.09,0.1,0.04,0.31,1678,1678
09/11/2020,0.05,0.24,0.12,0.11,0.11,0.04,0.32,1661,1661
07/12/2020,0.06,0.24,0.16,0.1,0.1,0.03,0.32,1656,1656
05/01/2021,0.09,0.29,0.13,0.08,0.09,0.04,0.28,1693,1693
01/02/2021,0.06,0.27,0.14,0.08,0.1,0.03,0.33,1666,1666
01/03/2021,0.1,0.34,0.12,0.07,0.07,0.02,0.29,1627,1627
29/03/2021,0.12,0.35,0.1,0.07,0.05,0.03,0.28,1692,1692
28/04/2021,0.14,0.34,0.12,0.05,0.04,0.02,0.29,1635,1635
24/05/2021,0.28,0.31,0.08,0.03,0.02,0.01,0.27,1661,1661
21/06/2021,0.14,0.38,0.1,0.04,0.02,0.01,0.31,1784,1784
19/07/2021,0.13,0.36,0.12,0.06,0.04,0.01,0.29,1808,1808
18/08/2021,0.13,0.34,0.13,0.05,0.03,0.01,0.3,1749,1749
12/09/2021,0.1,0.33,0.14,0.06,0.04,0.01,0.31,1786,1786
11/10/2021,0.11,0.33,0.15,0.06,0.04,0.02,0.29,1768,1768
07/11/2021,0.09,0.35,0.15,0.05,0.04,0.01,0.3,1804,1804
05/12/2021,0.08,0.36,0.14,0.07,0.05,0.02,0.28,1817,1817
02/01/2022,0.04,0.27,0.17,0.1,0.09,0.03,0.3,1812,1812
31/01/2022,0.04,0.23,0.17,0.13,0.11,0.04,0.28,1784,1784
28/02/2022,0.04,0.24,0.17,0.12,0.09,0.04,0.3,1774,1774
28/03/2022,0.05,0.26,0.16,0.11,0.09,0.03,0.3,1807,1807
24/04/2022,0.03,0.26,0.16,0.11,0.11,0.04,0.28,1795,1795
22/05/2022,0.03,0.22,0.17,0.17,0.1,0.04,0.28,1802,1802
19/06/2022,0.03,0.24,0.17,0.17,0.09,0.04,0.27,1820,1820
17/07/2022,0.03,0.2,0.17,0.16,0.13,0.05,0.27,1805,1805
15/08/2022,0.02,0.19,0.17,0.17,0.14,0.04,0.28,1774,1774
12/09/2022,0.03,0.18,0.14,0.15,0.16,0.06,0.27,1799,1799
17/10/2022,0.01,0.08,0.09,0.15,0.2,0.24,0.23,1772,1772
14/11/2022,0.01,0.11,0.11,0.15,0.21,0.17,0.24,1780,1780
12/12/2022,0.02,0.1,0.1,0.14,0.21,0.18,0.25,1798,1798
09/01/2023,0.02,0.08,0.12,0.13,0.23,0.18,0.24,1779,1779
06/02/2023,0.01,0.09,0.11,0.12,0.25,0.18,0.23,1741,1741